标志,ID,人物,位置,内容,跳转,效果,目标,,,,,,,,,,,
#,1,小唐,,老板，怎么才能跟女生好好说话呢？,2,,,,,,,,,,,,,
#,2,我,,又来啊，今天跟女生说话又紧张了？,3,,,,,,,,,,,,,
#,3,小唐,,就是说啊，表情不自然，浑身冒冷汗。,4,,,,,,,,,,,,,
#,4,我,,会不会是心理问题？,5,,,,,,,,,,,,,
#,5,小唐,,每次联谊都这个情况，但你看我哪次退缩过？,6,,,,,,,,,,,,,
#,6,我,,是，如果不来我这里喝闷酒就更好了。,7,,,,,,,,,,,,,
#,7,小唐,,这不是给你涨业绩吗？我可是老主顾，尊重我一点。,8,,,,,,,,,,,,,
#,8,小唐,,（吨吨吨）,9,,,,,,,,,,,,,
#,9,我,,那会不会是你身上有什么脏东西？,10,,,,,,,,,,,,,
#,10,小唐,,我可是相当注重个人卫生的，不要污蔑我。,11,,,,,,,,,,,,,
#,11,我,,不是那个脏东西，我是说妖魔鬼怪啊什么的……,12,,,,,,,,,,,,,
$,12,我,,（观察）*已对“玉镯”产生印象,13,GetBracelet,,,,,,,,,,,,
#,13,小唐,,玄学吗？说不好哦，话说你居然相信这种东西？,14,,,,,,,,,,,,,
#,14,我,,这年头奇怪的事物和现象可是屡见不鲜。,15,,,,,,,,,,,,,
#,15,小唐,,怎么，说的跟你经常看得到一样，不会是真的吧？,16,,,,,,,,,,,,,
#,16,我,,信不信由你喽。,17,,,,,,,,,,,,,
SELECTION,17,,,,,,,,,,,,,,,,,
#,18,我,,话说你手腕上的手镯，怎么看都不太像能摘得下来吧。,19,,,,,,,,,,,,,
#,19,小唐,,你说这个啊，这个我从小就带着了，不是会有那种吗？长大了就摘不下来的护身符。,20,,,,,,,,,,,,,
#,20,我,,原来如此，我略有耳闻。那你戴着的这个是什么寓意？,21,,,,,,,,,,,,,
#,21,小唐,,我记得好像是小时候别人送给我的，那个人是……诶？谁来着？,22,,,,,,,,,,,,,
#,22,我,,我看看。,23,,,,,,,,,,,,,
#,23,小唐,,（伸出手）,24,,,,,,,,,,,,,
#,24,我,,翡翠的啊，你听说过“爱如玉，情不渝”吗？娃娃亲？,25,,,,,,,,,,,,,
#,25,小唐,,早不流行这个了吧，应该跟爱情没什么关系，我可是母胎solo。,26,,,,,,,,,,,,,
#,26,我,,那你怎么不摘掉它？一直戴着不难受？,27,,,,,,,,,,,,,
#,27,小唐,,说起来我也不太清楚什么原因，但也不太影响生活。,28,,,,,,,,,,,,,
#,28,我,,（这么重要的东西一定有戴上的原因，单纯忘了？不太可能吧。）*对“玉镯”印象加深了,29,,,,,,,,,,,,,
END,29,,,,,,,,,,,,,,,,,
#,30,小唐,,（悄悄）诶，其实我听说你有帮人排忧解难的神秘能力，看在我是你老主顾的份上，能不能帮帮我？,31,,,,,,,,,,,,,
#,31,我,,听谁说的？,32,,,,,,,,,,,,,
#,32,小唐,,客人啊，影视作品里酒馆不就是那种场所吗，情报站。,33,,,,,,,,,,,,,
#,33,我,,（叹气）好吧，你拿好这杯米酒，睡前喝掉。,34,,,,,,,,,,,,,
#,34,小唐,,这集我也看过，是《x的x字》！,35,,,,,,,,,,,,,
#,35,我,,（瞪）,36,,,,,,,,,,,,,
#,36,小唐,,咳咳，实在太感谢了！再来一杯血腥玛丽！,37,,,,,,,,,,,,,
END,37,,,,,,,,,,,,,,,,,
#,38,小唐,,没用啊！虽然我觉得今天状态是很好，但还是没用啊！,39,,,,,,,,,,,,,
#,39,我,,如果一晚上就能解决困扰你几个月的问题，那我应该立刻辞职去当心理医生了。,40,,,,,,,,,,,,,
#,40,小唐,,咋办啊老板！,41,,,,,,,,,,,,,
#,41,我,,先聊会儿呗，比如今天联谊有什么新感受吗？,42,,,,,,,,,,,,,
#,42,小唐,,你这么一说还真是，以往脑袋一片空白，但今天的感受要更加清晰。,43,,,,,,,,,,,,,
#,43,我,,哦？什么样的感受？,44,,,,,,,,,,,,,
#,44,小唐,,应该说是“这样不好”吧，有点担忧和愧疚。,45,,,,,,,,,,,,,
#,45,我,,难道说你其实有女朋友？,46,,,,,,,,,,,,,
#,46,小唐,,我可是相当专一的，不要污蔑我。,47,,,,,,,,,,,,,
#,47,我,,那会不会是有什么约定你忘记了？年少时的告白。,48,,,,,,,,,,,,,
#,48,小唐,,啊？年龄也太小了吧，算数吗这种？,49,,,,,,,,,,,,,
#,49,我,,儿时玩伴得有吧？,50,,,,,,,,,,,,,
#,50,小唐,,你一说我才想起来，我当时是有个女生朋友，不过记忆挺模糊的。,51,,,,,,,,,,,,,
#,51,我,,看来你小时候还不恐女啊，当时你们都玩些什么啊？,52,,,,,,,,,,,,,
#,52,小唐,,我还没仔细回忆过诶，隐约记得是有个木屋，当时我还住在乡下，好怀念啊。,53,,,,,,,,,,,,,
#,53,我,,秘密基地？,54,,,,,,,,,,,,,
#,54,小唐,,你很懂啊！我们还有个宝箱，里面有可多宝贝了，玩具车啊什么的。,55,,,,,,,,,,,,,
#,55,我,,很多人的秘密基地吗？不止你跟那个女孩子？,56,,,,,,,,,,,,,
#,56,小唐,,一开始是很多人的，但他们年龄比我们大，很快就都去城里上学了，哪还会留在那种小破地方。,57,,,,,,,,,,,,,
#,57,我,,嗯，这的确是一种选择。,58,,,,,,,,,,,,,
#,58,小唐,,但其实没啥可选的，乡下的孩子基本都会去城里发展，至少也会去上个学。,59,,,,,,,,,,,,,
#,59,我,,那你不是自愿的吗？,60,,,,,,,,,,,,,
#,60,小唐,,不太记得啊，但我肯定不是主动忙活那类人，就好比联谊，只是为了维持人际关系，要说舒适感还是你这里更合我胃口。,61,,,,,,,,,,,,,
#,61,我,,跟那个女孩子有关系吗？,62,,,,,,,,,,,,,
#,62,小唐,,好像是有，我们同龄，约好一起去进城市上中学来着。,63,,,,,,,,,,,,,
#,63,我,,关系真好啊你们俩。,64,,,,,,,,,,,,,
#,64,小唐,,那可是，我和小桃算得上是青梅竹马……等等，魔法吗？你怎么做到的。,65,,,,,,,,,,,,,
#,65,我,,是你本来就记得。,66,,,,,,,,,,,,,
#,66,小唐,,你这循循善诱的手法真该去当心理医生！也不知道她现在过得怎么样了。,67,,,,,,,,,,,,,
#,67,我,,你要去找她吗？,68,,,,,,,,,,,,,
#,68,小唐,,先不，明天考试，我要全力备考，考完我先找你商量商量，从现在起你就是我哥。,69,,,,,,,,,,,,,
#,69,我,,那你接下来点的任何酒我都不做了，你要好好备考。,70,,,,,,,,,,,,,
#,70,小唐,,别啊哥，没问题的，酒能促进血液循环，我能更好复习。,71,,,,,,,,,,,,,
#,71,我,,拉倒吧。,72,,,,,,,,,,,,,
#,72,小唐,,这不是在给你涨业绩吗？怎么能这样QAQ,73,,,,,,,,,,,,,
#,73,我,,谁让我是你哥呢。,74,,,,,,,,,,,,,
SELECTION,74,,,,,,,,,,,,,,,,,
#,75,我,,话说你手腕上的手镯，怎么看都不太像能摘得下来吧。,76,,,,,,,,,,,,,
#,76,小唐,,这个啊，小时候就戴着，说实话，我已经好久没留意到它了，今早忽然想起来是小桃在小时候送我的。,77,,,,,,,,,,,,,
#,77,我,,有什么寓意吗？,78,,,,,,,,,,,,,
#,78,小唐,,我记得我也送她了一个，寓意好像是守护。,79,,,,,,,,,,,,,
#,79,我,,真富有。,80,,,,,,,,,,,,,
#,80,小唐,,我们那的习俗啦，本来是应该送给未来心上人的，但我们俩一合计反正交换也没差，互相守护呗。,81,,,,,,,,,,,,,
#,81,我,,你听说过“爱如玉，情不渝”吧？,82,,,,,,,,,,,,,
#,82,小唐,,现在来看是有点暧昧了哈，但当时很纯洁。,83,,,,,,,,,,,,,
#,83,我,,这么看你本性不是个坏孩子。,84,,,,,,,,,,,,,
#,84,我,,（今早吗？应该不是巧合）*对“玉镯”印象加深了,85,,,,,,,,,,,,,
END,85,,,,,,,,,,,,,,,,,
#,86,我,,你和小桃分别的时候肯定拍合照了吧。,87,,,,,,,,,,,,,
#,87,小唐,,嗯……确实，但照片我好久没见过了，而且我依稀记得背面有个图案来着……,88,,,,,,,,,,,,,
#,88,我,,是什么的象征吗？约定或者暗号？,89,,,,,,,,,,,,,
#,89,小唐,,哦对！是个风车，我说过我们有个宝箱对吧？,90,,,,,,,,,,,,,
#,90,我,,有这回事。,91,,,,,,,,,,,,,
#,91,小唐,,我当时给宝箱设计了个锁，是个风车图案的拼图，颜色摆放正确才能打开宝箱。,92,,,,,,,,,,,,,
#,92,我,,不愧是理工学校的。,93,,,,,,,,,,,,,
#,93,小唐,,我偷偷跟你说哦！风车是小桃最喜欢的图案，她说象征着自由和梦想。,94,,,,,,,,,,,,,
#,94,我,,看来你想起去城市念书的理由了。,95,,,,,,,,,,,,,
#,95,小唐,,她想追梦，我陪她追，这就是我们当时的约定。,96,,,,,,,,,,,,,
#,96,我,,真是浪漫啊。,97,,,,,,,,,,,,,
#,97,小唐,,但不对啊，为什么我对后来的记忆依旧很模糊，这不合理吧。,98,,,,,,,,,,,,,
#,98,我,,别想了，考前可别分心。,99,,,,,,,,,,,,,
#,99,小唐,,你说得对，等我考完试我一定会去找她的！,100,,,,,,,,,,,,,
#,100,我,,会赢的。*对“二人合照”的印象加深了,101,,,,,,,,,,,,,
END,101,,,,,,,,,,,,,,,,,
#,102,小唐,,那来杯度数低点的总可以吧？,103,,,,,,,,,,,,,
#,103,我,,你明天不用来找我商量了。,104,,,,,,,,,,,,,
#,104,小唐,,哈哈哈哈开玩笑开玩笑，那我先回去了。,105,,,,,,,,,,,,,
#,105,我,,慢着，这杯酒你带着，跟昨天一样。,106,,,,,,,,,,,,,
#,106,小唐,,啊？我不是已经找到人生的方向了吗？,107,,,,,,,,,,,,,
#,107,我,,我之前说过，一天能治好叫神医，不是我。,108,,,,,,,,,,,,,
#,108,小唐,,好吧，你是我哥，我信你的。,109,,,,,,,,,,,,,
#,109,我,,千万别想别的，考试加油。,110,,,,,,,,,,,,,
#,110,小唐,,挂不了，明天见！,111,,,,,,,,,,,,,
#,111,我,,"（（果然，照片被锁在箱子意味着失忆，怎么可能聊两句就想起来这么多，看来这个失忆还不太简单。）",112,,,,,,,,,,,,,
END,112,,,,,,,,,,,,,,,,,
#,113,小唐,,哥，给我随便做一杯酒。,114,,,,,,,,,,,,,
#,114,我,,今天是怎么了，来这么早，还无精打采的，考砸了？,115,,,,,,,,,,,,,
#,115,小唐,,考砸的话我也不是第一次了，但昨天晚上做噩梦了，梦见一场车祸。,116,,,,,,,,,,,,,
#,116,我,,你在梦里被车撞了吗？,117,,,,,,,,,,,,,
#,117,小唐,,不，我是旁观者，但不知道为什么我看到那个场景会感觉……很悲伤。,118,,,,,,,,,,,,,
#,118,我,,那你清楚是谁遭遇的车祸吗？,119,,,,,,,,,,,,,
#,119,小唐,,毕竟是梦，细节太模糊了，但这种悲伤我现在也能感觉得到，总觉得提不起兴致。,120,,,,,,,,,,,,,
#,120,我,,所以你没有去联谊？,121,,,,,,,,,,,,,
#,121,小唐,,昨天我不是跟你说好了一块商量嘛，就算没做噩梦我也不会去的。,122,,,,,,,,,,,,,
#,122,我,,是说找小桃的事情吧。,123,,,,,,,,,,,,,
#,123,小唐,,对，但说实话我一点眉目也没有，没有联系方式，时间也过去很久了。,124,,,,,,,,,,,,,
#,124,我,,问过你父母了吗？,125,,,,,,,,,,,,,
#,125,小唐,,他们电话里支支吾吾的，应该也不知道吧，我心情不好就先挂掉了。,126,,,,,,,,,,,,,
#,126,我,,你和小桃闹过什么矛盾吗？不欢而散的那种。,127,,,,,,,,,,,,,
#,127,小唐,,没有这方面的印象，我连什么时候跟她失去联系的都不知道。,128,,,,,,,,,,,,,
#,128,我,,你觉得你的记忆很混乱？,129,,,,,,,,,,,,,
#,129,小唐,,是啊，我能记得我们小时候玩得很开心，但我却对分开一点印象没有，这合理吗？,130,,,,,,,,,,,,,
#,130,我,,不合理。,131,,,,,,,,,,,,,
#,131,小唐,,哥，能帮帮我吗？用用你无敌的循循善诱。,132,,,,,,,,,,,,,
#,132,我,,你这种情况应该是失忆，而且恐怕是心因性的，属于自我防御，强行唤醒的话有些风险。,133,,,,,,,,,,,,,
#,133,小唐,,我没事的，送佛送到西吧。,134,,,,,,,,,,,,,
#,134,我,,那好吧，放轻松聊聊天好了，你们当时上的中学是同一所不？,135,,,,,,,,,,,,,
#,135,小唐,,我想想啊……是，而且是初高中一体的学校，幸运的是我们一直在同一个班。,136,,,,,,,,,,,,,
#,136,我,,青梅竹马的设定在学校一定被人津津乐道吧。,137,,,,,,,,,,,,,
#,137,小唐,,哈哈，的确如此，是被调侃过。,138,,,,,,,,,,,,,
#,138,我,,你什么反应。,139,,,,,,,,,,,,,
#,139,小唐,,有一次别的班同学拿这个事情打趣小桃，给她惹哭了，我大发雷霆，之后就仅限开玩笑了。,140,,,,,,,,,,,,,
#,140,我,,想不到你这么勇敢。,141,,,,,,,,,,,,,
#,141,小唐,,那是，我超勇的。,142,,,,,,,,,,,,,
#,142,我,,这样了你俩都没在一起？看来你还没勇敢到告白啊。,143,,,,,,,,,,,,,
#,143,小唐,,嘿！怎么说话呢，高中毕业那个暑假我俩久违地回了趟老家，那是个不热不冷的晚上……,144,,,,,,,,,,,,,
#,144,我,,听你对环境的形容我就觉得没戏。,145,,,,,,,,,,,,,
#,145,小唐,,谁说的，我们可是幸福地在一起了！她还说有事情一起扛，要共患难！,146,,,,,,,,,,,,,
#,146,我,,这是结义啊还是表白啊……（风车谜题果然也是记忆的锁，看来已经很接近真相了，让我想想还有什么要问的。）,147,,,,,,,,,,,,,
SELECTION,147,,,,,,,,,,,,,,,,,
#,148,我,,话说你手腕上的手镯，怎么看都不太像能摘得下来吧。,149,,,,,,,,,,,,,
#,149,小唐,,是小桃在小时候送我的啊，一直戴着就没摘过。,150,,,,,,,,,,,,,
#,150,我,,有什么寓意吗？,151,,,,,,,,,,,,,
#,151,小唐,,我记得我也送她了一个，寓意好像是守护。,152,,,,,,,,,,,,,
#,152,我,,真富有。,153,,,,,,,,,,,,,
#,153,小唐,,我们那的习俗啦，本来是应该送给未来心上人的，但我们俩一合计反正交换也没差，互相守护呗。,154,,,,,,,,,,,,,
#,154,我,,你听说过“爱如玉，情不渝”吧？,155,,,,,,,,,,,,,
#,155,小唐,,现在来看是有点暧昧了哈，但当时很纯洁。,156,,,,,,,,,,,,,
#,156,我,,这么看你本性不是个坏孩子。*对“玉镯”印象加深了,157,,,,,,,,,,,,,
END,157,,,,,,,,,,,,,,,,,
#,158,我,,你和小桃分别的时候肯定拍合照了吧。,159,,,,,,,,,,,,,
#,159,小唐,,那必须的，我昨天还找来着，虽然找不到了，但这其中大有玄机。,160,,,,,,,,,,,,,
#,160,我,,哦？,161,,,,,,,,,,,,,
#,161,小唐,,背面有个风车图案！,162,,,,,,,,,,,,,
#,162,我,,嗯……是象征什么吗？,163,,,,,,,,,,,,,
#,163,小唐,,是小时候的宝箱！我当时给宝箱设计了个锁，是个风车图案的拼图，颜色摆放正确才能打开宝箱。,164,,,,,,,,,,,,,
#,164,我,,不愧是理工学校的。,165,,,,,,,,,,,,,
#,165,小唐,,我偷偷跟你说哦！风车是小桃最喜欢的图案，她说象征着自由和梦想。,166,,,,,,,,,,,,,
#,166,我,,看来你想起去城市念书的理由了。,167,,,,,,,,,,,,,
#,167,小唐,,她想追梦，我陪她追，这就是我们当时的约定。,168,,,,,,,,,,,,,
#,168,我,,真是浪漫啊。*对“二人合照”的印象加深了,169,,,,,,,,,,,,,
END,169,,,,,,,,,,,,,,,,,
#,170,我,,你这表白过程感觉都是小桃在操作啊。,171,,,,,,,,,,,,,
#,171,小唐,,好吧，其实我前面说谎了，那天小桃被打趣之后是她自己大发雷霆，因为她怕给我也添麻烦。,172,,,,,,,,,,,,,
#,172,我,,想来也是。,173,,,,,,,,,,,,,
#,173,小唐,,但我就是喜欢这样的她！永远勇敢，永远挑战，永远向前看！所以我也鼓起了勇气，准备了精彩的告白计划。,174,,,,,,,,,,,,,
#,174,我,,有多精彩？,175,,,,,,,,,,,,,
#,175,小唐,,有什么比在木屋屋顶看星星更浪漫的场景呢？,176,,,,,,,,,,,,,
#,176,我,,不错啊，很适合小桃一往无前的性格。,177,,,,,,,,,,,,,
#,177,小唐,,那必须的，我还准备了很好看的发簪！虽然她吐槽说现代人没人会带发簪了……,178,,,,,,,,,,,,,
#,178,我,,确实很少见到。,179,,,,,,,,,,,,,
#,179,小唐,,但是她说她很喜欢！,180,,,,,,,,,,,,,
#,180,我,,结局美好就好。*对“破碎发簪”的印象加深了,181,,,,,,,,,,,,,
END,181,,,,,,,,,,,,,,,,,
$,182,我,,表白之后呢？高中毕业的暑假一定很精彩吧。,183,ShutMusic,,,,,,,,,,,,
#,183,小唐,,不愧是哥，记忆逐渐复苏了啊，之后呢……之后……,184,,,,,,,,,,,,,
#,184,我,,嗯？,185,,,,,,,,,,,,,
#,185,小唐,,（面色苍白，身体瘫软）,186,,,,,,,,,,,,,
#,186,小唐,,警笛……救护车……不，不要……,187,,,,,,,,,,,,,
#,187,我,,（不好！我疏忽了，噩梦不就是对记忆的复苏吗？）,188,,,,,,,,,,,,,
#,188,我,,不好意思各位顾客！今天提前结束营业了！,189,,,,,,,,,,,,,
$,189,,,***    店员帮忙将客人们送出去后，随后也出去了，酒馆里只剩下两个人。    ***,190,ShowAside,,,,,,,,,,,,
$,190,,,***    将小唐安顿在折叠床上。    ***,191,ShowAside,,,,,,,,,,,,
#,191,我,,原来如此，心因性失忆的原因原来在这里！情况很糟糕，要赶紧准备才行！,192,,,,,,,,,,,,,
$,192,,,***    将米酒给小唐灌下，这时他忽然断断续续地说道：“永远向上看……总是回头……没有……意义。”    ***,193,ShowAside,,,,,,,,,,,,
END,193,,,,,,,,,,,,,,,,,
#,194,小唐,,晚上好啊哥，昨晚真是太感谢了。,195,,,,,,,,,,,,,
#,195,我,,"真是抱歉啊，让你陷入了这么危险的情况……",196,,,,,,,,,,,,,
#,196,小唐,,没关系没关系，倒不如说我还要感谢你呢，我回忆起了全部。,197,,,,,,,,,,,,,
#,197,我,,那你打算？,198,,,,,,,,,,,,,
#,198,小唐,,继续向着我的梦想努力，小桃虽然不在了，但她说得对。,199,,,,,,,,,,,,,
#,199,我,,是什么？,200,,,,,,,,,,,,,
#,200,小唐,,“人生应该永远向上看，总是回头没有意义。”,201,,,,,,,,,,,,,
HE,201,,,,,,,,,,,,,,,,,